test_idx,claim,true_label,evidence,explanation
10,Pro-Kremlin TV Host Amplifies Disinformation on the Export of Polish and Australian Products to the European Union,False,"- Recurring Disinformation by Pro-Kremlin Media about Organ Trading in Ukraine (Rated: False, Year: 2022)
- Pro-Kremlin and Governmental Platforms Disseminate Disinformation about the Public Ombudsman and TV Formula (Rated: False, Year: 2021)
- 4 Disinformation of the Kremlin around Biological Laboratories in Ukraine (Rated: False, Year: 2022)","Known verdict for this claim: False Relevant past fact-checks: - Recurring Disinformation by Pro-Kremlin Media about Organ Trading in Ukraine (Rated: False, Year: 2022) - Pro-Kremlin and Governmental Platforms Disseminate Disinformation about the Public Ombudsman and TV Formula (Rated: False, Year: 2021) - 4 Disinformation of the Kremlin around Biological Laboratories in Ukraine (Rated: False, Year: 2022"
11,A scripted video of money extortion in Kerala is being shared with a communal claim.,Partially True,"- A video is being shared online in which a mob can be seen attacking a group of people on bikes. The claim is being made that the video is from Kerela when a mod attacked the RSS- BJP supporters who were participating in pro-NRC & CAA rally. ""In Kerala RSS & BJP rally in support of (Rated: False, Year: 2020)
- Scripted Video of an Old Man Drugging a Woman Shared With a Communal Claim (Rated: False, Year: 2022)
- Video of Fight Over Property Among Family Members Given False Communal Spin (Rated: False, Year: 2022)","A video is being shared online in which a mob can be seen attacking a group of people on bikes. The claim is being made that the video is from Kerela when a mod attacked the RSS- BJP supporters who were participating in pro-NRC & CAA rally. ""In Kerala RSS & BJP rally in support of (Rated: False, Year: 2020) Scripted Video of an Old Man Drugging a Woman Shared With a Communal Claim (Rated: False, Year: 2022) Video of F"
12,AIIMS has issued a new advisory with a list of symptoms to detect COVID-19.,False,"- AIIMS has released a list of respiratory symptoms of Covid-19 and similar diseases. (Rated: Partially True, Year: 2020)
- COVID-19 symptoms attributed to AIIMS, Delhi (Rated: False, Year: 2021)
- Viral symptoms on coronavirus and other diseases released by AIIMS (Rated: False, Year: 2020)","AIIMS has issued a new advisory with a list of symptoms to detect COVID-19 and similar diseases. (Rated: False, Year: 2021) - COVID-19 symptoms attributed to AIIMS, Delhi (Rated: False, Year: 2021) - Viral symptoms on coronavirus and other diseases released by AIIMS (Rated: False, Year: 2021) - Viral symptoms on coronavirus and other diseases released by AIIMS (Rated: False, Year: 2021"
13,A video shows a tsunami in Japan following the earthquake on 1 January 2024.,False,"- Video shows tsunami caused by a powerful earthquake in the Philippines. (Rated: False, Year: 2022)
- Video shows footage of the tsunami that hit Tonga on January 15. (Rated: False, Year: 2022)
- A video showing a tsunami in Darwin, Australia (Rated: Partially True, Year: 2022)","A video shows a tsunami in Japan following the earthquake on 1 January 2024. A video shows footage of the tsunami that hit Tonga on January 15 (Rated: False, Year: 2022) A video shows a tsunami in Darwin, Australia (Rated: Partially True, Year: 2022) A video shows a tsunami in Darwin, Australia (Rated: Partially True, Year: 2022) A video shows footage of the tsunami that hit Tonga on January 15 (Rated: False, Year: 2022) A video shows footage of the"
14,"Authorities are trying to identify a young woman who was recently robbed, stabbed, and left for dead on the side of the road in Australia.",False,"- A serial killer is at large in Australian towns, abducting women in cars. (Rated: False, Year: 2022)
- Australian police shoot dead Chinese woman in Australia (Rated: False, Year: 2019)
- A little girl has vanished from a local area and the police need help to identify those responsible. (Rated: False, Year: 2020)","Authorities are trying to identify a young woman who was recently robbed, stabbed, and left for dead on the side of the road in Australia. Known verdict for this claim: False"
15,"An online photograph shows a man standing next to a genuine Gigantopithecus, the largest ape known to ever live.",False,"- Photo shows a Gigantopethicus ape (Rated: Partially True, Year: 2021)
- A photograph shows the skull of a Purussaurus, an extinct species regarded as the largest crocodile to ever live. (Rated: False, Year: 2021)
- A photograph shows a Southeast African monkey from Madagascar. (Rated: False, Year: 2015)","An online photograph shows a man standing next to a genuine Gigantopithecus, the largest ape known to ever live. (Rated: False, Year: 2021) A photograph shows the skull of a Purussaurus, an extinct species regarded as the largest crocodile to ever live. (Rated: False, Year: 2015) A photograph shows a Southeast African monkey from Madagascar. (Rated: False, Year: 2015)"
16,"On December 22, Jun Abines posted on his Facebook page, where he describes himself as a writer, an item from quora.com containing a reply to the question ""Do",False,"- Facebook user 'Mukesh Sharma Fans Club' shared the viral post on August 13 and wrote, (Rated: False, Year: 2022)
- Claim: Facebook user Rajesh Sharma shared a post in the Facebook group, Narendra Modi fans and wrote, (Rated: False, Year: 2022)
- The fake quote first appeared on a satirical FB page. (Rated: False, Year: 2022)",A satirical FB page is not a satirical FB page. A satirical FB page is not a satirical FB page. A satirical FB page is not a satirical FB page. A satirical FB page is not a satirical FB page. A satirical FB page is not a satirical FB page. A satirical FB page is not a satirical FB page. A satirical FB
17,China's Zhejiang province preparing for fresh lockdowns,Partially True,"- Zhengzhou residents shopping for city lockdown in May, 2022 (Rated: Partially True, Year: 2022)
- Video shows residents breaking out of Covid lockdown in China's Lanzhou (Rated: False, Year: 2022)
- Leak of Canada lockdown plans (Rated: False, Year: 2020)",China's Zhejiang province is preparing for fresh lockdowns.
18,Video shows Indonesian journalist Najwa Shihab supporting presidential candidate Prabowo Subianto,False,"- Video shows Americans supporting Indonesian President Joko Widodo (Rated: False, Year: 2020)
- Barack Obama unveils portrait of Indonesian opposition presidential candidate Prabowo Subianto (Rated: False, Year: 2019)
- Indonesian presidential candidate Prabowo Subianto has been declared election winner by the Constitutional Court (Rated: False, Year: 2019)","Video shows Najwa Shihab supporting Indonesian presidential candidate Prabowo Subianto. Video shows Barack Obama unveiling portrait of Indonesian opposition presidential candidate Prabowo Subianto. In 2-3 sentences, explain why the verdict is correct, using the evidence above. Do not invent new facts; just summarise the reasoning."
19,"Russia responded to an ""accidental"" Israeli attack on its bases in Syria and fired cruise missiles from its warship in the Mediterranean in early November 2023. It led to 32 Russian and 18 Israeli casualties.",False,"- ""Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria"" (Rated: False, Year: 2018)
- Aftermath Of Russia's Attack In Ukraine (Rated: Partially True, Year: 2022)
- Israel fired a tactical nuclear weapon at an Iranian base in Syria in late April 2018. (Rated: False, Year: 2018)","Russia responded to an ""accidental"" Israeli attack on its bases in Syria and fired cruise missiles from its warship in the Mediterranean in early November 2023. It led to 32 Russian and 18 Israeli casualties."
20,Finance Minister Nirmala Sitaraman announcing a strategic partnership with crypto trading platform named Quantum Trade.,False,"- A BBC article describes how Martin Lewis has endorsed a ""new cryptocurrency auto-trading program called BitProfit"". (Rated: False, Year: 2022)
- Edited picture of Union Finance Minister Nirmala Sitharaman goes viral on social media (Rated: False, Year: 2022)
- Tesla launched a cryptocurrency platform that ""aims to help families become wealthier."" (Rated: False, Year: 2022)","Finance Minister Nirmala Sitaraman announcing a strategic partnership with crypto trading platform named Quantum Trade. Known verdict for this claim: False. Relevant past fact-checks: - A BBC article describes how Martin Lewis has endorsed a ""new cryptocurrency auto-trading program called BitProfit"". (Rated: False, Year: 2022) - Tesla launched a cryptocurrency platform that ""aims to help families become wealthier."" (Rated: False, Year: 2022) - Tesla launched a cryptocurrency platform that """
21,Video shows bells manufactured by BHEL Trichy for Ayodhya Ram Mandir.,False,"- Video of a monkey ringing bell at Ayodhya Ram Mandir. (Rated: False, Year: 2021)
- Bell in viral image is for Ayodhya Ram Mandir (Rated: False, Year: 2020)
- Video of the exterior of Ram Mandir in Ayodhya (Rated: False, Year: 2021)","Video shows bells manufactured by BHEL Trichy for Ayodhya Ram Mandir. Known verdict for this claim: False. Related past fact-checks: - Video of a monkey ringing bell at Ayodhya Ram Mandir. (Rated: False, Year: 2021) - Video of the exterior of Ram Mandir in Ayodhya (Rated: False, Year: 2020) - Video of the interior of Ram Mandir in Ayodhya (R"
22,Scripted Video Passed Off as People Extorting Money During Christmas in Kerala,False,"- Video is of a recent boat tragedy in Kerala. (Rated: False, Year: 2021)
- Scripted Video Passed Off as Real Incident of 'Hindu Baba Saving Muslim Woman' (Rated: False, Year: 2022)
- Video of Payal Rohatgi getting caught in a sting operation demanding money to post pro-BJP and anti-Muslim tweets. (Rated: False, Year: 2019)","Video is of a recent boat tragedy in Kerala. (Rated: False, Year: 2021) Video is of Payal Rohatgi getting caught in a sting operation demanding money to post pro-BJP and anti-Muslim tweets. (Rated: False, Year: 2022) Video is of Payal Rohatgi getting caught in a sting operation demanding money to post pro-BJP and anti-Muslim tweets. (Rated: False, Year: 2022) Video is of Payal Rohatgi getting caught"
23,Did an Indian-Origin Man Molest Air Hostess In Bali-Melbourne Flight?,Partially True,"- Did 125 Pessengers of Air India Flight Tested Covid Positive? (Rated: Partially True, Year: 2022)
- Did A Woman Faint After Air India Denied Her To Board The Flight? (Rated: Partially True, Year: 2022)
- Australia isn't real and its people are paid actors or robots. Pilots are in on the hoax and really fly 'visitors' to nearby islands or to South America. (Rated: False, Year: 2020)",An Indian-Origin man molests an Air Hostess in a Bali-Melbourne flight.
24,Old Clip of Blast Falsely Linked To Unverified Claims of Masood Azhar's Death,False,"- Pakistan Army Chief: ""Masood Azhar is not dead, he is alive in our hearts"". (Rated: False, Year: 2019)
- After Rahul's 'Masood Azhar ji' Remark, Parody Tweet Goes Viral (Rated: False, Year: 2019)
- The News Minute's Story on Azharuddeen Shared with a Fake Headline (Rated: False, Year: 2021)","Masood Azhar is not dead, he is alive in our hearts."
25,Video shows BJP MLA Shreyasi Singh dancing inside her car,False,"- Video of Pakistan parliament member dancing to Bollywood song (Rated: False, Year: 2022)
- Video of BJP MLA Anil Upadhyay dancing with a woman in an intoxicated state. (Rated: False, Year: 2022)
- Leaked video of BJP MP Devji Patel dancing intimately with a woman. (Rated: False, Year: 2022)",Video shows BJP MLA Shreyasi Singh dancing inside her car. Video of BJP MLA Anil Upadhyay dancing with a woman in an intoxicated state. Video of BJP MLA Devji Patel dancing intimately with a woman. Video of Shreyasi Singh dancing with a woman in an intoxicated state. Video of Shreyasi Singh dancing with a woman in an intoxicated state. Video of Shreyasi Singh dancing with a woman in an intoxicated state.
26,Hand massage improves brain health,Partially True,"- Foot massage can stop Alzheimer's disease (Rated: False, Year: 2022)
- Ghee massage around the eyes improves vision (Rated: False, Year: 2021)
- Foot massage with mustard oil improves eyesight (Rated: False, Year: 2021)",Hand massage improves brain health. Foot massage improves vision. Ghee massage around the eyes improves vision. Foot massage with mustard oil improves eyesight. You are a fact-checking assistant.
27,Ratan Tata Did Not Provide the Indian Army with Bulletproof Buses!,False,"- Claim:Ratan Tata: ""In a country, if Prime Minister's popularity increases due to the death of 65 soldiers, then nobody can save that country from getting destroyed"" (Rated: False, Year: 2019)
- Rahul Gandhi says India does not need Army, Navy and Air Force (Rated: Partially True, Year: 2021)
- Ratan Tata has pledged his entire wealth to rid India of COVID19 (Rated: False, Year: 2021)",Ratan Tata has pledged his entire wealth to rid India of COVID19.
28,An X post with a video of a young child praying on a hospital bed claimed that the footage shows a kid who got left behind when doctors were forced to evacuate from the Baptist Hospital in Gaza.,False,"- Video shows Israeli soldiers detaining Palestinian child in Gaza in 2021 (Rated: Partially True, Year: 2021)
- Video of Israeli police personnel strangling a Palestinian child to death. (Rated: False, Year: 2021)
- A video of an injured child bleeding from his head is widely being shared on the internet with a claim that the incident took place in Varanasi where the 'Yogi police' is entering mosque and killing children. (Rated: False, Year: 2020)","An X post with a video of a young child praying on a hospital bed claimed that the footage shows a kid who got left behind when doctors were forced to evacuate from the Baptist Hospital in Gaza. Known verdict for this claim: False. Related past fact-checks: - Video of Israeli police personnel strangling a Palestinian child to death. (Rated: False, Year: 2021) - Video of an injured child bleeding from his head is widely being shared on the internet with a claim that the incident took place in Varanasi where the"
29,Fasting kill tumors in the body,Partially True,"- Fasting on water for seven days can prevent cancer (Rated: False, Year: 2022)
- A tumor collects all the poison from your body and save your life (Rated: False, Year: 2022)
- No, Ekadashi Fasting Does Not Reduce Your Risk of Cancer (Rated: False, Year: 2018)",Ekadashi Fasting does not reduce your risk of cancer.
30,The Biggest Stories Indian Media Misreported In 2023,Other,"- All The Fake News Spread By The Indian Media On Afghanistan (Rated: Other, Year: 2021)
- How Did Fake News Affect The Violence in Northeast Delhi? (Rated: False, Year: 2020)
- Fake News Around ISRO, Nehru & More (Rated: False, Year: 2019)","The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the evidence above. The verdict is correct, using the"
31,"Video shows underwater earthquake in Japan on January 1, 2024.",False,"- Video shows earthquake in Shanghai in January 2021 (Rated: False, Year: 2021)
- Video shows January 2022 earthquake in Indonesia's Banten province (Rated: False, Year: 2022)
- Video shows a fireworks show in Japan in 2022 (Rated: False, Year: 2022)","Video shows underwater earthquake in Japan on January 1, 2024. Known verdict for this claim: False. In 2-3 sentences, explain why the verdict is correct, using the evidence above. Do not invent new facts; just summarise the reasoning."
32,This video shows colleagues fighting over the use of Hindi during a Zoom meeting.,False,"- Video shows scuffle between two groups in India (Rated: False, Year: 2022)
- Video of a fight between Hindu and Christan neighbors over Diwali celebration. (Rated: False, Year: 2022)
- Video of a clash between Hindu and Muslims. (Rated: False, Year: 2021)","This video shows colleagues fighting over the use of Hindi during a Zoom meeting. Known verdict for this claim: False. Related past fact-checks: - Video of a fight between Hindu and Christan neighbors over Diwali celebration. (Rated: False, Year: 2022) - Video of a fight between Hindu and Muslims. (Rated: False, Year: 2021) - Video of a clash between Hindu and Muslims. (Rated: False, Year: 2022) - Video of a clash between Hindu and Muslims"
33,The operations of National Geographic and other related network channels were halted from 28 December 2023.,False,"- The International Space Stations was briefly thrown out of control in July 2021. (Rated: True, Year: 2021)
- NASA has announced that a multi-day worldwide blackout will occur beginning on 16 December 2020. (Rated: False, Year: 2012)
- Is the Cartoon network shutting down after 30 years? (Rated: False, Year: 2022)",National Geographic and other related network channels were halted from 28 December 2023. The operations of National Geographic and other related network channels were halted from 28 December 2023. The operations of National Geographic and other related network channels were halted from 28 December 2023. The operations of National Geographic and other related network channels were halted from 28 December 2023. The operations of National Geographic and other related network channels were halted from 28 December 2023. The operations of National Geographic and other related network channels were halted from 28 December 2023. The operations of National Geographic and other related network channels
34,This video shows a British oil tanker on fire after a missile attack by the Yemeni Houthi militant group.,Partially True,"- Video shows a tanker exploding in Dubai and it's after effects. (Rated: False, Year: 2021)
- Viral video of oil tanker in flames is from Gachibowli flyover (Rated: False, Year: 2021)
- Videos show oil pipeline explosion in Dubai in mid-August 2020? (Rated: False, Year: 2020)",Video shows a British oil tanker on fire after a missile attack by the Yemeni Houthi militant group. This video shows a British oil tanker on fire after a missile attack by the Yemeni Houthi militant group. This video shows a British oil tanker on fire after a missile attack by the Yemeni Houthi militant group. This video shows a British oil tanker on fire after a missile attack by the Yemeni Houthi militant group. This video shows a British oil tanker on fire after a missile attack by the Yemeni Houthi militant
35,A drink can burn fat in just 15-20 days,Partially True,"- Coffee with Lemon juice can burn belly fat in 30 days (Rated: Partially True, Year: 2021)
- You can melt belly fat without exercise and diet in 15 days (Rated: Partially True, Year: 2022)
- Previous claims that one or two drinks a day might protect against stroke are not true (Rated: True, Year: 2019)","Coffee with lemon juice can burn belly fat in 30 days (Rated: Partially True, Year: 2021)"
36,Jaish-e-Mohammed chief Masood Azhar was killed in the explosion while he was returning from Bhawalapur mosque in Pakistan.,Partially True,"- Pakistan Army Chief: ""Masood Azhar is not dead, he is alive in our hearts"". (Rated: False, Year: 2019)
- a Hindu supporter of Nupur Sharma killed a Muslim man in Kolhapur, Maharashtra. (Rated: False, Year: 2022)
- Congress leader from Assam Amjat Ali was arrested and weapons and explosives recovered from him. He was planning genocide against Hindus. (Rated: False, Year: 2020)","Jaish-e-Mohammed chief Masood Azhar was killed in the explosion while he was returning from Bhawalapur mosque in Pakistan. (Rated: False, Year: 2019) a Hindu supporter of Nupur Sharma killed a Muslim man in Kolhapur, Maharashtra. (Rated: False, Year: 2022) a Congress leader from Assam Amjat Ali was arrested and weapons and explosives recovered from him. He was planning genocide against Hindus. (Rated: False, Year:"
37,Video shows three people being swept away by a tsunami following Japan's recent earthquake.,False,"- Video shows tsunami caused by a powerful earthquake in the Philippines. (Rated: False, Year: 2022)
- 2011 Clip of Tsunami in Japan Falsely Shared as Video From China (Rated: Partially True, Year: 2021)
- Video shows entire family being swept away in floods in Khyber Pakhtunkhwa (Rated: False, Year: 2022)","Video shows three people being swept away by a tsunami following Japan's recent earthquake. (Rated: False, Year: 2022) - Video shows entire family being swept away in floods in Khyber Pakhtunkhwa (Rated: False, Year: 2022) - Video shows entire family being swept away in floods in Khyber Pakhtunkhwa (Rated: False, Year: 2022) - Video shows entire family being swept away in floods in Khyber Pakhtunk"
38,108 feet Shivalinga is ready in Sri Lanka. This is the tallest Shivling in the world,False,"- World's largest Shivalinga at 108 ft and it is located in Sri Lanka (Rated: False, Year: 2019)
- Photo of 108-feet Shiva lingam, the tallest located in Sri Lanka. (Rated: False, Year: 2019)
- A picture of a Shiva Lingam has been making rounds on social media and it is claimed that it is a 108-feet Shiva lingam situated in Sri Lanka. The text on the picture read: ""श्रीलंका में 108 फ़ीट का शिवलिंग बन के तैयार हो गया है दुनिया का सबसे ऊँचा शिवलिंग है बोलो हर हर (Rated: False, Year: 2019)","A picture of a Shiva Lingam has been making rounds on social media and it is claimed that it is a 108-feet Shiva lingam situated in Sri Lanka. The text on the picture read: ""  108                (Rated: False, Year: 2019)"
39,This video is from a function related to Ayodhya's Ram Mandir,False,"- Video of the exterior of Ram Mandir in Ayodhya (Rated: False, Year: 2021)
- No, That's Not the Official 3D Video of Ram Mandir in Ayodhya (Rated: False, Year: 2022)
- The officially released 3D video of Ayodhya Ram Mandir. (Rated: False, Year: 2022)","Video of the exterior of Ram Mandir in Ayodhya (Rated: False, Year: 2021) - No, That's Not the Official 3D Video of Ram Mandir in Ayodhya (Rated: False, Year: 2022) - The officially released 3D video of Ayodhya Ram Mandir. (Rated: False, Year: 2022) - The officially released 3D video of Ayodhya Ram Mandir. (Rated: False"
40,"No, Yemeni Houthis Have Not Recently Captured an Indian Ship Filled With Cows",False,"- Yes, Kuwaiti ship met South African government terms to transport 60,000 sheep (Rated: True, Year: 2019)
- Video shows cows being smuggled over the India-Pakistan border (Rated: False, Year: 2019)
- A post has surfaced on the internet in which a truck can be seen offloading hundreds of carcasses of dead cows. The claim attached to the picture is that the cows are dying out of starvation in Rajasthan. The caption of the picture read- ""यही है गौ सेवा की असलियत ।राजस्थान में भूख से मरी (Rated: False, Year: 2019)",Yemeni Houthi have not recently captured an Indian ship filled with cows.
41,Beer or alcohol reduces the risk of cancer.,False,"- Drinking beer will improve bone density and digestion; prevent cancer, diabetes, gallstones and dementia; and delay ageing, among other health benefits. (Rated: False, Year: 2020)
- Saint Luke's Hospital of USA says that consuming alcohol can reduce the risk of Covid-19. (Rated: Partially True, Year: 2020)
- Consuming alcoholic beverage reduces risk of COVID-19 (Rated: False, Year: 2020)","Drinking beer will improve bone density and digestion; prevent cancer, diabetes, gallstones and dementia; and delay ageing, among other health benefits. (Rated: False, Year: 2020) - Saint Luke's Hospital of USA says that consuming alcohol can reduce the risk of COVID-19. (Rated: Partially True, Year: 2020) - Consuming alcoholic beverage reduces risk of COVID-19 (Rated: False, Year: 2020)"
42,"An authentic poster for a Disney-Pixar film ""Cobain"" shows the animated version of Kurt Cobain, the late singer for the band Nirvana.",False,"- A photograph shows musician Kurt Cobain with wrestler Andre the Giant. (Rated: False, Year: 2022)
- Kurt Cobain predicted or endorsed a Donald Trump presidency in 1993. (Rated: False, Year: 2016)
- The late Kurt Cobain once argued that the nudity on the cover of the Nirvana album ""Nevermind"" could be covered with a sticker that read: ""If you're offended by this you must be a closet pedophile."" (Rated: True, Year: 2021)","An authentic poster for a Disney-Pixar film ""Cobain"" shows the animated version of Kurt Cobain, the late singer for the band Nirvana. (Rated: False, Year: 2016) The late Kurt Cobain once argued that the nudity on the cover of the Nirvana album ""Nevermind"" could be covered with a sticker that read: ""If you're offended by this you must be a closet pedophile."" (Rated: False, Year: 2016)"
43,Congress put Sonia Gandhi's image on QR code asking for donations for 2024 elections,False,"- Image Shows Rahul Gandhi, Not Quattrocchi With Sonia Gandhi (Rated: False, Year: 2021)
- After Shiv Sena, Congress and NCP formed an alliance to form government in Maharashtra, a picture is making rounds on social media in which Congress' interim President, Sonia Gandhi's portrait can be seen on Shiv Sena Bhavan. The caption with the picture in Hindi read: ""बस !!! अब यही देखना बाकी रह गया था"" ALSO (Rated: False, Year: 2019)
- Picture of Sonia Gandhi (Rated: Partially True, Year: 2022)","Congress put Sonia Gandhi's image on QR code asking for donations for 2024 elections Known verdict for this claim: False Relevant past fact-checks: - Image Shows Rahul Gandhi, Not Quattrocchi With Sonia Gandhi (Rated: False, Year: 2021) - After Shiv Sena, Congress and NCP formed an alliance to form government in Maharashtra, a picture is making rounds on social media in which Congress' interim President, Sonia Gandhi's portrait can be seen on Shiv Sena Bhavan. The caption"
