test_idx,claim,true_label,factors_evidence,web_evidence,web_source,explanation
12,AIIMS has issued a new advisory with a list of symptoms to detect COVID-19.,False,"[{""retr_claim"": ""AIIMS has released a list of respiratory symptoms of Covid-19 and similar diseases."", ""retr_label"": ""Partially True"", ""retr_year"": 2020}, {""retr_claim"": ""COVID-19 symptoms attributed to AIIMS, Delhi"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Viral symptoms on coronavirus and other diseases released by AIIMS"", ""retr_label"": ""False"", ""retr_year"": 2020}]","[""List of unproven methods against COVID-19: hundreds of people have died from using fake COVID-19 treatments. Medically approved tests detect the virus or the antibodies the body makes to fight it"", ""COVID-19 misinformation: Medicine of the All India Institute of Medical Sciences (AIIMS). He said there was no population immunity to the COVID-19 virus yet, as it is new, and it""]",wikipedia,"The verdict of ""False"" for the claim that AIIMS has issued a new advisory with a list of symptoms to detect COVID-19 is reasonable based on the evidence provided. Specifically, past fact-checks indicate that while AIIMS has released lists of respiratory symptoms related to COVID-19, these claims have been deemed partially true or false in different contexts, suggesting that there may not be a current or accurate advisory as claimed [F1], [F2], [F3]. Additionally, there is no supporting evidence from the web to confirm a recent advisory, further indicating that the claim lacks sufficient backing."
13,A video shows a tsunami in Japan following the earthquake on 1 January 2024.,False,"[{""retr_claim"": ""Video shows tsunami caused by a powerful earthquake in the Philippines."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Video shows footage of the tsunami that hit Tonga on January 15."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""A video showing a tsunami in Darwin, Australia"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}]","[""2024 Noto earthquake: On 1 January 2024, at 16:10:09 JST (07:10:09 UTC), a MJMA7.6 (Mw7.5) earthquake struck 6 km (3.7 mi) north-northeast of Suzu, located on the Noto Peninsula"", ""2004 Indian Ocean earthquake and tsunami: Tōhoku, Japan (magnitude 9.1) in March 2011. Each of these megathrust earthquakes also spawned tsunamis in the Pacific Ocean. In comparison to the 2004 Indian""]",wikipedia,"The claim that a video shows a tsunami in Japan following the earthquake on 1 January 2024 is reasonable to be deemed false based on the available evidence. The evidence does not indicate that a tsunami occurred as a result of the Noto earthquake on that date; it only provides details about the earthquake itself, which was a significant event but does not mention any tsunami associated with it [W1]. Additionally, past fact-checks indicate that videos claiming to show tsunamis were actually misattributed to other events, further supporting the conclusion that the claim is likely false [F1], [F2]."
14,"Authorities are trying to identify a young woman who was recently robbed, stabbed, and left for dead on the side of the road in Australia.",False,"[{""retr_claim"": ""A serial killer is at large in Australian towns, abducting women in cars."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Australian police shoot dead Chinese woman in Australia"", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""A little girl has vanished from a local area and the police need help to identify those responsible."", ""retr_label"": ""False"", ""retr_year"": 2020}]","[""2025 in Australia: The following is a list of events including expected and scheduled events for the year 2025 in Australia. Monarch Charles III Governor-General Sam Mostyn"", ""List of The Walking Dead (TV series) characters: position. In &quot;Evolution&quot;, after finding Eugene with Daryl and Aaron, and trying to return home, Jesus is stabbed in the heart and killed by a Whisperer""]",wikipedia,"The claim that authorities are trying to identify a young woman who was recently robbed, stabbed, and left for dead in Australia lacks supporting evidence from the provided dataset. The past fact-checks, such as [F1], [F2], and [F3], indicate that there have been false claims related to violent incidents in Australia, but none specifically corroborate the current claim. Additionally, the web evidence does not provide any relevant information regarding recent incidents of this nature. Therefore, the verdict of false is reasonable due to the absence of credible evidence."
15,"An online photograph shows a man standing next to a genuine Gigantopithecus, the largest ape known to ever live.",False,"[{""retr_claim"": ""Photo shows a Gigantopethicus ape"", ""retr_label"": ""Partially True"", ""retr_year"": 2021}, {""retr_claim"": ""A photograph shows the skull of a Purussaurus, an extinct species regarded as the largest crocodile to ever live."", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""A photograph shows a Southeast African monkey from Madagascar."", ""retr_label"": ""False"", ""retr_year"": 2015}]","[""Bigfoot: Gigantopithecus would have evolved these uniquely hominin traits in parallel. Paleoanthropologist Bernard G. Campbell writes: &quot;That Gigantopithecus is""]",wikipedia,"The claim that an online photograph shows a man standing next to a genuine Gigantopithecus is reasonable to label as false based on the evidence provided. While there is a reference to a photograph showing a Gigantopithecus in [F1], it is categorized as ""Partially True,"" which suggests that it may not be a genuine depiction of the species alongside a human. Additionally, there is no strong evidence or clear confirmation that such a photograph exists, making the claim weak and unsubstantiated. Therefore, the verdict of false is justified due to insufficient evidence supporting the authenticity of the photograph."
16,"On December 22, Jun Abines posted on his Facebook page, where he describes himself as a writer, an item from quora.com containing a reply to the question ""Do",False,"[{""retr_claim"": ""Facebook user 'Mukesh Sharma Fans Club' shared the viral post on August 13 and wrote,"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Claim: Facebook user Rajesh Sharma shared a post in the Facebook group, Narendra Modi fans and wrote,"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""The fake quote first appeared on a satirical FB page."", ""retr_label"": ""False"", ""retr_year"": 2022}]",[],none,"The verdict of ""False"" for the claim regarding Jun Abines posting on December 22 is reasonable because the evidence provided does not directly support the claim about his specific Facebook activity. The past fact-checks, such as those involving users Mukesh Sharma and Rajesh Sharma, indicate instances of false information being shared on Facebook, but they do not provide any relevant details about Jun Abines or the specific post in question. Additionally, there is no evidence from the web to corroborate the claim, leaving it unsupported."
17,China's Zhejiang province preparing for fresh lockdowns,Partially True,"[{""retr_claim"": ""Zhengzhou residents shopping for city lockdown in May, 2022"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}, {""retr_claim"": ""Video shows residents breaking out of Covid lockdown in China's Lanzhou"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Leak of Canada lockdown plans"", ""retr_label"": ""False"", ""retr_year"": 2020}]","[""COVID-19 pandemic in mainland China: (SARS-CoV-2). China was where the first COVID outbreak occurred, the first where authorities imposed drastic measures in response (including lockdowns and face"", ""Chinese government response to COVID-19: defended the intent behind the lockdowns, citing that the lockdowns bought the world a &quot;delay to essentially prepare better.&quot; A mathematical epidemiologist""]",wikipedia,"The claim that China's Zhejiang province is preparing for fresh lockdowns is deemed partially true, likely due to the historical context of lockdowns in China, as indicated by evidence like [F1], which references past lockdown measures in Zhengzhou. However, the evidence provided does not specifically confirm current preparations for lockdowns in Zhejiang province, leaving the claim somewhat ambiguous. There is a lack of direct evidence indicating that fresh lockdowns are indeed being planned, making the overall support for the claim insufficient."
18,Video shows Indonesian journalist Najwa Shihab supporting presidential candidate Prabowo Subianto,False,"[{""retr_claim"": ""Video shows Americans supporting Indonesian President Joko Widodo"", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Barack Obama unveils portrait of Indonesian opposition presidential candidate Prabowo Subianto"", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""Indonesian presidential candidate Prabowo Subianto has been declared election winner by the Constitutional Court"", ""retr_label"": ""False"", ""retr_year"": 2019}]","[""Joko Widodo: for Prabowo Subianto&#039;s victory in the 2024 Indonesian presidential election. Megawati Sukarnoputri nominated Jokowi to be the presidential candidate of"", ""2020 in Indonesia: on the recent passing of the jobs creation bill. Prominent Indonesian journalist Najwa Shihab was filed to the police by supporters of Joko Widodo for &quot;defamation&quot;""]",wikipedia,"The claim that Indonesian journalist Najwa Shihab supports presidential candidate Prabowo Subianto is reasonable to be deemed false, as there is no direct evidence provided that indicates her support for him. The existing evidence does not mention her endorsing Prabowo; instead, it highlights her involvement in controversies related to Joko Widodo, such as being filed for defamation by his supporters [W2]. Additionally, the fact-checks listed do not support the claim of her backing Prabowo Subianto, reinforcing the conclusion that the claim is unfounded."
19,"Russia responded to an ""accidental"" Israeli attack on its bases in Syria and fired cruise missiles from its warship in the Mediterranean in early November 2023. It led to 32 Russian and 18 Israeli casualties.",False,"[{""retr_claim"": ""\""Thousands killed as Israel Drops Tactical Nuclear Bomb On Syria\"""", ""retr_label"": ""False"", ""retr_year"": 2018}, {""retr_claim"": ""Aftermath Of Russia's Attack In Ukraine"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}, {""retr_claim"": ""Israel fired a tactical nuclear weapon at an Iranian base in Syria in late April 2018."", ""retr_label"": ""False"", ""retr_year"": 2018}]","[""Russian intervention in the Syrian civil war: Escalating Syria Attack, Russia Fires Missiles From Warships Archived 1 January 2017 at the Wayback Machine, The New York Times. &quot;Russia turns to backwater""]",wikipedia,"The claim that Russia fired cruise missiles from its warship in response to an ""accidental"" Israeli attack in early November 2023, resulting in casualties, is deemed false based on the evidence provided. There is no supporting evidence in the past fact-checks or web sources to substantiate the occurrence of such an event in November 2023. Additionally, the past fact-checks do not indicate any recent military actions by Russia in Syria that align with this claim, suggesting that the evidence is insufficient to support it."
20,Finance Minister Nirmala Sitaraman announcing a strategic partnership with crypto trading platform named Quantum Trade.,False,"[{""retr_claim"": ""A BBC article describes how Martin Lewis has endorsed a \""new cryptocurrency auto-trading program called BitProfit\""."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Edited picture of Union Finance Minister Nirmala Sitharaman goes viral on social media"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Tesla launched a cryptocurrency platform that \""aims to help families become wealthier.\"""", ""retr_label"": ""False"", ""retr_year"": 2022}]",[],none,"The claim that Finance Minister Nirmala Sitharaman announced a strategic partnership with a crypto trading platform named Quantum Trade is reasonable to consider false due to the lack of any supporting evidence. The provided fact-checks do not mention any partnership involving Sitharaman and Quantum Trade, and the existing evidence, such as the viral edited picture of her, indicates misinformation related to her statements [F2]. Additionally, there is no relevant information from external sources to support the claim. Thus, the verdict of false is justified based on the absence of credible evidence."
21,Video shows bells manufactured by BHEL Trichy for Ayodhya Ram Mandir.,False,"[{""retr_claim"": ""Video of a monkey ringing bell at Ayodhya Ram Mandir."", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Bell in viral image is for Ayodhya Ram Mandir"", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Video of the exterior of Ram Mandir in Ayodhya"", ""retr_label"": ""False"", ""retr_year"": 2021}]",[],none,"The claim that the video shows bells manufactured by BHEL Trichy for the Ayodhya Ram Mandir is reasonable to label as false, as there is no supporting evidence to confirm this assertion. Previous fact-checks have indicated that videos and images related to bells at the Ayodhya Ram Mandir have been misidentified or are unrelated to the claim, as seen in [F1] and [F2], which both concluded that the bells in question were not associated with the temple. Additionally, there is no relevant information from external sources to support the claim."
22,Scripted Video Passed Off as People Extorting Money During Christmas in Kerala,False,"[{""retr_claim"": ""Video is of a recent boat tragedy in Kerala."", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Scripted Video Passed Off as Real Incident of 'Hindu Baba Saving Muslim Woman'"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Video of Payal Rohatgi getting caught in a sting operation demanding money to post pro-BJP and anti-Muslim tweets."", ""retr_label"": ""False"", ""retr_year"": 2019}]",[],none,"The verdict of ""False"" for the claim that a scripted video was passed off as people extorting money during Christmas in Kerala is reasonable given the evidence provided. The past fact-checks indicate that videos have previously been misrepresented, such as the video of a boat tragedy in Kerala being misidentified as a different incident [F1]. However, there is no direct evidence linking the specific claim about extortion during Christmas to any of the past fact-checks, leaving the evidence insufficient to fully validate or invalidate the claim."
23,Did an Indian-Origin Man Molest Air Hostess In Bali-Melbourne Flight?,Partially True,"[{""retr_claim"": ""Did 125 Pessengers of Air India Flight Tested Covid Positive?"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}, {""retr_claim"": ""Did A Woman Faint After Air India Denied Her To Board The Flight?"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}, {""retr_claim"": ""Australia isn't real and its people are paid actors or robots. Pilots are in on the hoax and really fly 'visitors' to nearby islands or to South America."", ""retr_label"": ""False"", ""retr_year"": 2020}]",[],none,"The claim regarding an Indian-origin man molesting an air hostess on a Bali-Melbourne flight is marked as ""Partially True,"" likely due to the lack of clear evidence supporting the specifics of the incident. The provided evidence does not directly address this claim, as the fact-checks cited ([F1], [F2], [F3]) pertain to unrelated incidents involving Air India flights and do not provide relevant information about the alleged molestation. Therefore, the evidence is insufficient to fully confirm or deny the claim."
24,Old Clip of Blast Falsely Linked To Unverified Claims of Masood Azhar's Death,False,"[{""retr_claim"": ""Pakistan Army Chief: \""Masood Azhar is not dead, he is alive in our hearts\""."", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""After Rahul's 'Masood Azhar ji' Remark, Parody Tweet Goes Viral"", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""The News Minute's Story on Azharuddeen Shared with a Fake Headline"", ""retr_label"": ""False"", ""retr_year"": 2021}]","[""List of fugitives from justice who disappeared: 2019). &quot;Masood Azhar – a global terrorist – and the implications for Pakistan&quot;. lowyinstitute.org. Retrieved 6 October 2019. &quot;Mohammad Masood Azhar Alvi&quot;""]",wikipedia,"The verdict of ""False"" for the claim that an old clip of a blast is falsely linked to unverified claims of Masood Azhar's death is reasonable given the evidence. Specifically, the statement from the Pakistan Army Chief in 2019, asserting that ""Masood Azhar is not dead, he is alive in our hearts"" [F1], indicates that there have been no credible confirmations of his death. Additionally, the context of past claims and the lack of verified information surrounding Azhar's status further support the conclusion that the claim is unfounded. The evidence presented does not indicate any recent or credible reports confirming his death, thus reinforcing the verdict."
25,Video shows BJP MLA Shreyasi Singh dancing inside her car,False,"[{""retr_claim"": ""Video of Pakistan parliament member dancing to Bollywood song"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Video of BJP MLA Anil Upadhyay dancing with a woman in an intoxicated state."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Leaked video of BJP MP Devji Patel dancing intimately with a woman."", ""retr_label"": ""False"", ""retr_year"": 2022}]",[],none,"The claim that a video shows BJP MLA Shreyasi Singh dancing inside her car is deemed false, but the evidence provided does not directly support this specific claim. The past fact-checks cited, such as videos involving other BJP members dancing, do not pertain to Shreyasi Singh and therefore do not provide relevant evidence to validate or invalidate the claim. Additionally, there is no evidence from web sources to clarify the situation further. Thus, the verdict is reasonable due to the lack of specific evidence regarding Shreyasi Singh."
